categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Conserves|D'Aucy|Haricots rouges|a|haricots rouges, eau, sucre, sel|445|0.6|2.6|3.4|7.9|0.7366|||||||||||||||||0|||
Conserves|D'Aucy|Petits pois doux à l\'étuvée|a|petits pois doux, eau, sucre, sel, arôme naturel|309|0.5|3.6|4.4|4.1|0.6604|||||||||||||||||0|||
Conserves|D'Aucy|Haricots beurre extra fins|a|Haricots beurre, eau, sel|104|0.2|0.5|2.7|1.6|0.78|||||||||||||||||0|||
Conserves|D'Aucy|Épinards hachés|a|épinards, sel.|128|0.6|0.7|3|3|0.32|||||||||||||||||0|||
Conserves|D'Aucy|Pôelée Haricots verts au beurre persillé|a|Haricots verts extra fins coupés, eau, _beurre_, persil, sel, ail, antioxydant : acide ascorbique, épaississants : gomme xanthane, gomme guar, poivre.|184|1.7|1.5|3.9|1.9|0.6|||||||||||||||||0|en:milk|E300 - Acide ascorbique,E412 - Gomme de guar,E415 - Gomme xanthane|
Conserves|D'Aucy|Haricots verts très fins|a|Haricots verts, eau, sel.|104|0.1|0.7|2.8|1.5|0.8001|||||||||||||||||0|||
Conserves|D'Aucy|Haricots verts plats coupés|a|Haricots verts plats coupés, eau, sel.|98|0.1|0.7|2|1.2|0.7|||||||||||||||||0|||
Conserves|D'Aucy|Petits Pois Extra Fins|a|Petits pois, eau, sucre, sel, arôme naturel|368|0.9|3.7|6.1|5.8|0.53|||||||||||||||||0|||
Conserves|D'aucy|Duo haricots verts haricots beurre|a|Légumes en proportion variable, eau, sel|113|0.3|0.8|3|1.6|0.56|||||||||||||||||0|||
Conserves|D'aucy|Maïs ultra croquant|a|Maïs en grains sans OGM, eau, sel.|381|2.4|4.9|4.3|2.9|0.4|||||||||||||||||0|||
Conserves|Danival|Pois Chiches Cuisinés |b|Pois chiches du Sud-Ouest, oignons, jus cuisiné : eau, sel marin non raffiné de l'Atlantique, huile de tournesol désodorisée, herbes de Provence, poivre.|212.2|0.4|0.1|1.7|3.1|1.1|||||||||||||||||0|||
Conserves|Danival|Petits Pois et Carottes|a|Petits pois, carottes, jus : eau, sel marin non raffiné de l'Atlantique.|209|0.3|4|2|2.6|0.6|||||||||||||||||0|||
Conserves|Danival|Haricots verts coupés|a|haricots verts, jus : eau, sel marin non raffiné de l'Atlantique|100|0.1|0.9|3.1|1.4|0.7|||||||||||||||||0|||
Conserves|Danival|Ravioli au Tofu, Tomates & Olives|c|Eau, tomates 21% ravioli tofu, olives, semoule soja|410|5.3|2.2|1.4|2.2|1.01|||||||||||||||||0|||
Conserves|Danival|Haricots Blancs Cuisinés|a|Haricots blancs du Sud-Ouest*, oignons*, jus cuisinés : eau, huile de tournesol désodorisée*, sel marin non raffiné de l'Atlantique, herbes de Provence*, poivre*. 100% ingrédients d’origine biologique|230|0.2|0.5|3.3|4.3|0.8|||||||||||||||||0|||
Conserves|Danival|Lentilles aux petits légumes|a|Lentilles vertes du Sud-Ouest, eau, légumes, oignons, carottes), bio shoyu Danival, huile de tournesol désodorisée, sel marin non raffiné de l'Atlantique, ail, herbes de Provence, poivre.|277|1.05|0.53|3.54|4.5|0.8|||||||||||||||||0|soja, blé||
Conserves|Danival|Maïs doux|a|maïs doux bio, jus, sel marin non raffiné de l'Atlantique|447|1.7|5|3.1|2.8|0.6|||||||||||||||||0|||
Conserves|Danival|Haricots Verts Extra Fins|a|Haricots verts extra-fins, jus : eau, sel marin non raffiné de l'Atlantique *Inqrédient d'origine aqricole obtenu selon res règles de production biologique|100|0.1|0.9|3.1|1.4|0.699999999999999|||||||||||||||||0|||
Conserves|Daucy|Haricots beurre coupés|a|Haricots beurre coupés, eau, sel|111|0.3|0.7|3.1|1.7|0.55|||||||||||||||||0|||
Conserves|Delpeyrat|Spécialité de foie gras de canard entier du Sud-Ouest cuit au bouillon aromatique|e|Foie gras de canard du Sud-Ouest 96 %, bouillon de volaille au Monbazillac et à l'Armagnac 4 %, poivre).|2268|56.8|1.5||7.1|0.93|||||||||||||||||0||E250 - Nitrite de sodium,E428 - Gélatine|
Conserves|Delpeyrat|Foie gras de canard entier du Sud-Ouest au poivre frâichement moulu|e|Foie gras de canard du Sud-Ouest, sel, poivre fraîchement moulu, conservateur : nitrite de sodium.|2241|56.1|0.9||7.5|1.28|||||||||||||||||0||E250 - Nitrite de sodium|
